# Curated Swiss Ephemeris fixed-star catalog for MathAstro.
# Records copied from the public Swiss Ephemeris sefstars.txt catalog (ICRS/2000 records).
Aldebaran  ,alTau,ICRS,04,35,55.23907,+16,30,33.4885,63.45,-188.94,54.26,48.94,0.86, 16, 629
Algol      ,bePer,ICRS,03,08,10.13245,+40,57,20.3280,2.99,-1.66,4,36.27,2.12, 40, 673
Antares    ,alSco,ICRS,16,29,24.45970,-26,25,55.2094,-12.11,-23.3,-3.5,5.89,0.91,-26,11359
Regulus    ,alLeo,ICRS,10,08,22.31099,+11,58,01.9516,-248.73,5.59,5.9,41.13,1.4, 12,2149
Sirius     ,alCMa,ICRS,06,45,08.91728,-16,42,58.0171,-546.01,-1223.07,-5.5,379.21,-1.46,-16,1591
Spica      ,alVir,ICRS,13,25,11.57937,-11,09,40.7501,-42.35,-30.67,1,13.06,0.97,-10,3672
Procyon    ,alCMi,ICRS,07,39,18.11950,+05,13,29.9552,-714.59,-1036.8,-3.2,284.56,0.37,05,1739
Castor     ,alGem,ICRS,07,34,35.87319,+31,53,17.8160,-191.45,-145.19,5.4,64.12,1.58,32,1581
Pollux     ,beGem,ICRS,07,45,18.94987,+28,01,34.3160,-626.55,-45.8,3.23,96.54,1.14,28,1463
Fomalhaut  ,alPsA,ICRS,22,57,39.04625,-29,37,20.0533,328.95,-164.67,6.5,129.81,1.16,-30,19370
Schedir    ,alCas,ICRS,00,40,30.44107,+56,32,14.3922,50.88,-32.13,-4.31,14.29,2.23,55,139
Hamal      ,alAri,ICRS,02,07,10.40570,+23,27,44.7032,188.55,-148.08,-14.64,49.56,2.01,22,306
Alcyone    ,etTau,ICRS,03,47,29.07655,+24,06,18.4883,19.34,-43.67,5.4,8.09,2.87,23,541
Mira       ,omiCet,ICRS,02,19,20.79210,-02,58,39.4956,9.33,-237.36,63.5,10.91,6.53,-03,353
Unukalhai  ,alSer,ICRS,15,44,16.07431,+06,25,32.2633,133.84,44.81,2.63,44.1,2.63,06,3088
Baten Kaitos,zeCet,ICRS,01,51,27.63482,-10,20,06.1289,40.8,-37.25,7.8,13.88,3.72,-11,359
Praesepe Cluster,M44,2000,08,40,6.000,19,59,0.00,0.000,0.00,0.0,5.65,3.7,0,0
Facies     ,M22,ICRS,18,36,23.94,-23,54,17.1,4.72,-3.59,-148,0.3136,6.17,0,0
Aculeus    ,M6,ICRS,17,40,20.0,-32,15,12,-2.38,-7.19,-7.05,2.04,4.2,0,0
Acumen     ,M7,ICRS,17,53,51.0,-34,47,36,2.58,-4.54,-21.38,0,3.3,0,0
